public_id,internal_id,regime,status_bucket,doctor_health_estimate,doctor_recommendation,total_return_pct,apr_estimate,max_drawdown_pct,trade_count,fee_total,fee_pct_of_start,source_file
2533266F4B,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_4068A05FBE,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
547B8F1385,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_6BC70433EB,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
B5E0E94F8B,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_59E0B0B2F0,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
ABDB087D2C,PMV3_BEAR_TREND_fee_churn_conservative_7D21410C52,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
BC411FF4AC,PMV3_BEAR_TREND_fee_churn_balanced_79CC603362,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
B7DCE3E41D,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_A95D17BBE0,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
3E810651D8,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_9935316A58,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
07E222F4C3,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_2AD03BA6EF,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
5738627A50,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_1A6FD8E4F2,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
6BA698ED42,PMV3_BEAR_TREND_fee_churn_conservative_41CB69F65A,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
3B0DA8E4F8,PMV3_BEAR_TREND_fee_churn_balanced_09769EF046,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
5F7489797D,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_E1B987A677,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
436A8A1D97,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_0473DFF672,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
9E546C4200,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_812DC0642B,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
DD2F9ED1EA,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_B0930CB7C3,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
E909BF327C,PMV3_BEAR_TREND_fee_churn_conservative_C550FE0F8E,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
9992221810,PMV3_BEAR_TREND_fee_churn_balanced_04477F7572,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
6F3ED51BDB,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_8C38F87599,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
3102D41555,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_175096CACC,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
9F144808D8,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_F7CCE6E969,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
7C394F9D91,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_DA2C15C545,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
77C7821C07,PMV3_BEAR_TREND_fee_churn_conservative_8EF8DDB129,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
C7EFB9BC7E,PMV3_BEAR_TREND_fee_churn_balanced_25172C62CF,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
DD6F0DCC31,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_DD778A8041,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
B261FA1599,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_464EE50300,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
83B1803794,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_9C7EFBE60F,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
67812428EB,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_8F677FB227,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
